puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,peh-kak,peh-kak,,八角,,,,八角,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,poeh-kak,pueh-kak,,八角,,,,八角,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-chiok,tsa̍p-tsiok,,十足,,,,十足,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,kiú-kiong-á,kiú-kiong-á,,九芎仔,,,,九芎樹,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-sū,jîn-sū,,人事,,,,人力、人事、公關,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-sū,lîn-sū,,人事,,,,人力、人事、公關,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pat-kòa,pat-kuà,,八卦,,,,八卦、椰子蟹,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pok-kòa,pok-kuà,,卜卦,,,,卜卦,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jī-pâng,jī-pâng,,二房,,,,二房、小老婆、次男支系、妾,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lī-pâng,lī-pâng,,二房,,,,二房、小老婆、次男支系、妾,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-bu̍t,jîn-bu̍t,,人物,,,,人物,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-bu̍t,lîn-bu̍t,,人物,,,,人物,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-hoe-gō͘-sek,tsa̍p-hue-gōo-sik,,十花五色,,,,五花八門、形形色色,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,ji̍p-mn̂g,ji̍p-mn̂g,,入門,,,,入門,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,li̍p-mn̂g,li̍p-mn̂g,,入門,,,,入門,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lâng-kheh,lâng-kheh,,人客,,,,客人、客戶、消費者、買方、顧客,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,liáu-āu,liáu-āu,,了後,,,,之後,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
