puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,ái-ah,ái-ah,,,,Ouch! Ow! (pain),,噯呀,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ái-bī,ái-bī,,,,moldy flavor,,發臭的味,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ái-sîm,ái-sîm,,,,"an edible puffball, Lycoperdon gemmatum",,埃蕈,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ài,ài,,,,"love (person), like (thing)",,愛,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ài,ài,,,,"want to, would like to",,要,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ài,ài,,,,"feel like, need to",,要,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ài,ài,,,,"might (catch cold, have a stomach ache, cry, etc)",,會,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ài-â,ài-â,,,,Ah! Oh! (wonder),,噯呀,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ài-a̍h,ài-a̍h,,,,"Oh! Ouch! Damn! (surprise, pain, sudden anger)",,唉啊,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ài-beh,ài-beh,,,,"want to, wish to",,要,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
