puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
phiou,Pʽio 1,,,瀌,,Rain and snow blended; a fall of sleet.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,143
phiou,Pʽio 1,,,穮,,To eradicate weeds from a field.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,143
phiou,Pʽio 1,,,藨,,A plant of which mats and sandals are made.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,143
phit,Pʽit 4,,,匹,,A pair; to correspond to; a husband or wife; intimate; single; a numeral of horses.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,143
phit,Pʽit 4,,,疋,,A roll or piece of silk or cloth; a numeral of cloth.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,143
phiàⁿ,Pʽⁿia 3-,,,聘,,To betroth; espouse; ask; enquire of; invite.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiè,Pʽie 3-,,,票,,A government warrant; a broker's ticket; a written order.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiè,Pʽie 3-,,,摽,,To strike; to beat or lay the hand upon the breast; to make a signal.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phièn,Pʽien 3-,,,片,,A splinter; fragment; a bit; a slip; to divide; judge.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
phièn,Pʽien 3-,,,騙,,To mount a horse; to cheat; deceive; take advantage of.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
phién,Pʽien 2,,,扁,,A tablet with an inscription; flat.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
phiê,Pʽie -1,,,萍,,Moss-like substance which grows on stagnant water.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiên,Pʽien -1,,,偏,,Lateral; inclined; partial to; selfish; depraved; bent upon; side.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiên,Pʽien -1,,,篇,,A leaf or section of a book; writing on a slip of bamboo.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiên,Pʽien -1,,,編,,To arrange together in proper order; to bind; plait.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiên,Pʽien -1,,,翩,,To fly swiftly; crowd and bustle; troops and banners.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiên,Pʽien -1,,,蝙,,A bat; also the name of a fish.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiên,Pʽien -1,,,褊,,Small; straight; cramped; narrow.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiên,Pʽien -1,,,蹁,,Lame or distorted about the foot; the knee pan.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,141
phiên,Pʽien -1,,,便,,Continuous talking.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
pho,Pʽó 1,,,坡,,A bank; declivity; hill; mound; steep.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,144
phoh,Pʽó 4,,,粕,,Feces or dregs of wine or other liquors.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phoi,Pʽoi 1,,,批,,To strike; to compare; decide and declare officially; a petition; the reply; to pare off.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phok,Pʽok 4,,,卜,,To divine by means of a tortoise shell; to prognosticate; conjecture.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phok,Pʽok 4,,,仆,,Lying down; prostate; bowing the head to the ground.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phok,Pʽok 4,,,扑,,A slight stroke; to strike; to flog.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phok,Pʽok 4,,,朴,,The bark of a tree; great; fundamentals; separate.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phok,Pʽok 4,,,菐,,Luxuriant herbage; a case in which reeds are stuck.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phok,Pʽok 4,,,撲,,To lean towards; to fall; to pat; strike; flog.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phok,Pʽok 4,,,樸,,"Plain, hard, close wood; substantial; without ornament.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phok,Pʽok 4,,,璞,,An unpolished gem; the external covering of a gem.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
phuah,Pʽua 4,,,潑,,To throw forth or sprinkle water; a shower; rain.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,146
phuan,Pʽwan 1,,,幡,,A napkin for dusting; long streamers; to toss about.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuan,Pʽwan 1,,,燔,,To roast; bake; flesh used in sacrifice.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuan,Pʽwan 1,,,蕃,,Luxuriant; abundance; exuberance.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuan,Pʽwan 1,,,藩,,A fence; boundary; frontier; to ward off.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuan,Pʽwan 1,,,蟠,,Prostrate; writhing curling; burrowing in the ground.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phun,Pʽun 1,,,奔,,To run away; to go in haste; precipitate; hurry.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
phuàn,Pʽwan 3-,,,判,,To divide; distinguish; judge; decide; decision.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuàn,Pʽwan 3-,,,拌,,To reject; throw away; disregard; to divide.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuàn,Pʽwan 3-,,,泮,,A semi-circular pool in front of Chinese colleges; to bind.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuàn,Pʽwan 3-,,,絆,,Ropes for entangling the feet; a snare; halter; to bind.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuàn,Pʽwan 3-,,,胖,,The half of a victim; a slice of; large; fleshy.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuân,Pʽwan -1,,,般,,To divide distribute; remove.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuân,Pʽwan -1,,,槃,,"A basin to wash in, or to drink from.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuân,Pʽwan -1,,,磐,,A rock; large stone.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuân,Pʽwan -1,,,縏,,A small bag; a satchel.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuân,Pʽwan -1,,,鞶,,A large girdle worn round the waist.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuân,Pʽwan -1,,,弁,,A cap or bonnet to keep up the hair and show a person's rank.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuân,Pʽwan -1,,,拚,,To take with the hand; to brush away; reject.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phuân,Pʽwan -1,,,磻,,Name of a stream; a stone fit for pointing arrows.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,148
phà,Pʽá 3-,,,冇,,"Empty, as grain without a kernel; withered; blasted.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,135
